Lower Bound,LowerIndex,Upper Bound,UpperIndex
182,182,192,192
251,251,260,260
260,260,268,268
274,274,282,282
282,282,292,292
293,293,304,304
303,303,313,313
557,557,574,574
780,780,793,793
967,967,986,986
1053,1053,1088,1088
1234,1234,1278,1278
1335,1335,1376,1376
1531,1531,1555,1555
