,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,511.0,0.0,511.06612017444303,0.3748892646231459,Pair production,201.49467512146032
1,977.363,0.004,976.9829622032562,0.27092136706676045,$\isotope[56][27]{Co}$,36.22147189007678
2,511.0,0.0,511.06612017444303,0.3748892646231459,$\isotope[58][27]{Co}$,201.49467512146032
3,511.0,0.0,511.06612017444303,0.3748892646231459,$\isotope[64][29]{Cu}$,201.49467512146032
4,511.0,0.0,511.06612017444303,0.3748892646231459,$\isotope[65][30]{Zn}$,201.49467512146032
5,511.0,0.0,511.06612017444303,0.3748892646231459,$\isotope[68][31]{Ga}$,201.49467512146032
6,871.1139999999999,0.003,871.4326257211494,0.27452957413265744,$\isotope[94][41]{Nb}$,109.06579823891745
7,294.98,0.02,295.2825214881413,0.18140635953351472,$\isotope[103][44]{Ru}$,133.44143010856232
8,443.8,0.02,443.9833296517586,0.1884193321843488,$\isotope[103][44]{Ru}$,187.8509536665316
9,80.9979,0.0011,80.99272711162652,0.11028872703242527,$\isotope[133][56]{Ba}$,820.2464974185452
10,276.3989,0.0012,276.3225376465458,0.1292197238728584,$\isotope[133][56]{Ba}$,152.53810166935375
11,302.8508,0.0005,302.86332078732624,0.1530683465463552,$\isotope[133][56]{Ba}$,365.5257661473271
12,356.0129,0.0007,355.98847259376885,0.17868428711823645,$\isotope[133][56]{Ba}$,924.3952283882103
13,383.8485,0.0012,383.7944252264698,0.17296897793105714,$\isotope[133][56]{Ba}$,114.27469649709472
14,121.7817,0.0003,121.80761154886427,0.11754660342855874,$\isotope[152][63]{Eu}$,7717.301782723599
15,244.6974,0.0008,244.68060689761467,0.1463287175478583,$\isotope[152][63]{Eu}$,1097.3410177274125
16,344.2785,0.0012,344.2535913479233,0.16460314724785985,$\isotope[152][63]{Eu}$,2621.411610813458
17,411.1165,0.0012,410.9570136832163,0.17324562455438933,$\isotope[152][63]{Eu}$,127.88808315469191
18,443.965,0.003,443.9833296517586,0.1884193321843488,$\isotope[152][63]{Eu}$,187.8509536665316
19,123.0706,0.0009,123.11129365972955,0.1016057415646104,$\isotope[154][63]{Eu}$,227.5656578189798
20,410.95599999999996,0.003,410.9570136832163,0.17324562455438933,$\isotope[166m][67]{Ho}$,127.88808315469191
21,63.12044,4e-05,63.10970466683357,0.10943023524129944,$\isotope[169][70]{Yb}$,151.67102868215747
22,468.06885,0.00026000000000000003,472.4073638005645,2.325450215409913,$\isotope[192][77]{Ir}$,51.56379847066996
23,583.187,0.002,583.4711535072486,0.18546922940973334,$\isotope[208][81]{Tl}$,83.8988348124777
24,238.632,0.002,238.56308953817035,0.13660863563498754,$\isotope[212][82]{Pb}$,479.80269992871735
25,295.224,0.002,295.2825214881413,0.18140635953351472,$\isotope[214][82]{Pb}$,133.44143010856232
26,351.93199999999996,0.002,351.8851500398044,0.14188809133740946,$\isotope[214][82]{Pb}$,200.69648109666184
27,609.316,0.003,609.6747700486967,0.19440275052506534,$\isotope[214][83]{Bi}$,131.86175439800473
28,1155.19,0.02,1155.5821443357986,0.4176678711541371,$\isotope[214][83]{Bi}$,26.994206412887213
29,63.29,0.02,63.10970466683357,0.10943023524129944,$\isotope[234][90]{Th}$,151.67102868215747
30,92.38,0.01,92.5857885660587,0.23521361504554916,$\isotope[234][90]{Th}$,331.24759218109483
31,92.8,0.02,92.5857885660587,0.23521361504554916,$\isotope[234][90]{Th}$,331.24759218109483
32,59.5409,0.0001,59.53441728904972,0.10155261819197288,$\isotope[241][95]{Am}$,8528.987786430142
33,59.5409,0.0001,59.53441728904972,0.10155261819197288,$\isotope[241][95]{Am}$,8528.987786430142
34,63.0011,0.0006,63.10970466683357,0.10943023524129944,$\isotope[192][77]{Ir}$ Os K$\alpha$1,151.67102868215747
35,72.8049,0.0008,72.8052554795046,0.13170942056364213,$\isotope[228][90]{Th}$ Pb K$\alpha$2,1464.9391270848027
36,72.805,0.0,72.8052554795046,0.13170942056364213,$\isotope[207][83]{Bi}$ Pb K$\alpha$2,1464.9391270848027
37,72.8725,0.0008,72.8052554795046,0.13170942056364213,$\isotope[203][80]{Hg}$ Tl K$\alpha$1,1464.9391270848027
38,74.97,0.0,74.96517344943949,0.11387930346393675,$\isotope[207][83]{Bi}$ Pb K$\alpha$1,2720.803258760783
39,74.97,0.0009,74.96517344943949,0.11387930346393675,$\isotope[228][90]{Th}$ Pb K$\alpha$1,2720.803258760783
40,77.1088,0.001,77.0802902380845,0.12586978189907028,$\isotope[228][90]{Th}$ Bi K$\alpha$1,319.4326472727484
41,59.4819,0.3226,59.53441728904972,0.10155261819197288,$\isotope[170][69]{Tm}$ Yb K$\beta$'1,8528.987786430142
42,84.9605,0.5095,84.79564697886643,0.18379892845313472,$\isotope[207][83]{Bi}$ Pb K$\beta$'1,1092.6974479775313
43,84.9605,0.5095,84.79564697886643,0.18379892845313472,$\isotope[228][90]{Th}$ Pb K$\beta$'1,1092.6974479775313
44,87.3485,0.5135,87.30682226945744,0.1673979156672777,$\isotope[228][90]{Th}$ Bi K$\beta$'1,447.1464415178401
45,87.6205,0.3825,87.30682226945744,0.1673979156672777,$\isotope[207][83]{Bi}$ Pb K$\beta$'2,447.1464415178401
46,87.6205,0.3825,87.30682226945744,0.1673979156672777,$\isotope[228][90]{Th}$ Pb K$\beta$'2,447.1464415178401
47,90.12700000000001,0.395,90.0003616074505,0.08236558840440775,$\isotope[228][90]{Th}$ Bi K$\beta$'2,102.58458877411309
48,74.96,0.1,74.96517344943949,0.11387930346393675,$\isotope[235 ][92]{U}$,2720.803258760783
49,129.296,0.001,129.32661758825284,0.12864313749853987,$\isotope[235 ][92]{U}$,376.03485328964587
50,302.87,0.05,302.86332078732624,0.1530683465463552,$\isotope[235 ][92]{U}$,365.5257661473271
51,411.2,0.3,410.9570136832163,0.17324562455438933,$\isotope[235 ][92]{U}$,127.88808315469191
52,473.9,0.5,472.4073638005645,2.325450215409913,$\isotope[235 ][92]{U}$,51.56379847066996
53,77.01,0.04,77.0802902380845,0.12586978189907028,$\isotope[237 ][92]{U}$,319.4326472727484
