,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,511.0,0.0,510.9139082969701,0.03331854152089759,Pair production,526.4470975362672
1,1460.8220000000001,0.006,1460.820931163056,0.00977580104344736,$\isotope[40][19]{K}$,602.7277710813343
2,1238.2736,0.0022,1238.2520616001366,0.04517743051622785,$\isotope[56][27]{Co}$,51.98071662799752
3,511.0,0.0,510.9139082969701,0.03331854152089759,$\isotope[58][27]{Co}$,526.4470975362672
4,511.0,0.0,510.9139082969701,0.03331854152089759,$\isotope[64][29]{Cu}$,526.4470975362672
5,511.0,0.0,510.9139082969701,0.03331854152089759,$\isotope[65][30]{Zn}$,526.4470975362672
6,511.0,0.0,510.9139082969701,0.03331854152089759,$\isotope[68][31]{Ga}$,526.4470975362672
7,1460.8220000000001,0.006,1460.820931163056,0.00977580104344736,$\isotope[40][19]{K}$,602.7277710813343
8,443.8,0.02,443.8264137286618,0.042519767331122345,$\isotope[103][44]{Ru}$,186.43912449785748
9,795.83,0.03,794.8333588819792,1.335409574839156,$\isotope[134][55]{Cs}$,142.99999966614425
10,80.9979,0.0011,81.01849965098484,0.022425433512919327,$\isotope[133][56]{Ba}$,520.36611780477
11,302.8508,0.0005,302.83482618124896,0.04340063328431448,$\isotope[133][56]{Ba}$,238.0021750170529
12,356.0129,0.0007,355.96871216711236,0.016269072945826756,$\isotope[133][56]{Ba}$,568.6978767897992
13,244.6974,0.0008,244.69080588052486,0.01963195548457616,$\isotope[152][63]{Eu}$,772.9259591884891
14,411.1165,0.0012,411.1648076394787,0.039917396956518685,$\isotope[152][63]{Eu}$,140.27874169095122
15,778.9045,0.0024,778.8772371392938,0.0239643086656538,$\isotope[152][63]{Eu}$,256.02745266905157
16,867.38,0.003,867.3770821460355,0.06872944811995857,$\isotope[152][63]{Eu}$,69.4720577017904
17,964.072,0.018000000000000002,964.0514139173828,0.02698409583307204,$\isotope[152][63]{Eu}$,271.5815379403912
