,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,136.47356000000002,0.00029,136.4972387613127,0.020109920022331067,$\isotope[57][27]{Co}$,1108.9264720211047
1,1384.2931,0.002,1387.256656472787,1.2570536873385805,$\isotope[110m][47]{Ag}$,19.762251381679608
2,171.28,0.03,171.424587211286,0.06628901730427451,$\isotope[111][49]{In}$,201.8720194955761
3,722.9110000000001,0.005,726.0848256876817,1.112217806515342,$\isotope[131][53]{I}$,142.93360325902202
4,723.3014,0.0022,726.0848256876817,1.112217806515342,$\isotope[154][63]{Eu}$,142.93360325902202
5,670.5260000000001,0.004,669.8057391292741,0.4349638179701512,$\isotope[166m][67]{Ho}$,47.020186611754646
6,727.33,0.01,726.0848256876817,1.112217806515342,$\isotope[212][83]{Bi}$,142.93360325902202
7,549.76,0.04,549.6605753813953,0.03945646186754078,$\isotope[220][86]{Rn}$,186.33961555628224
8,140.88,0.01,140.89868211351234,0.014777245450840063,$\isotope[232][90]{Th}$,550.1525239716818
9,113.5,0.1,113.36154391959258,0.00411217824381963,$\isotope[238][92]{U}$,4523.349752013979
10,71.4865,0.4085,72.56051908770435,0.07191419246913881,$\isotope[192][77]{Ir}$ Os K$\beta$'1,523.9677935335785
