,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,511.0,0.0,510.9061611889933,0.03331587866381657,Pair production,526.4471004669139
1,511.0,0.0,510.9061611889933,0.03331587866381657,$\isotope[58][27]{Co}$,526.4471004669139
2,511.0,0.0,510.9061611889933,0.03331587866381657,$\isotope[64][29]{Cu}$,526.4471004669139
3,511.0,0.0,510.9061611889933,0.03331587866381657,$\isotope[65][30]{Zn}$,526.4471004669139
4,511.0,0.0,510.9061611889933,0.03331587866381657,$\isotope[68][31]{Ga}$,526.4471004669139
5,443.8,0.02,443.8231951295302,0.04251739306633072,$\isotope[103][44]{Ru}$,186.43912380662118
6,795.83,0.03,794.7884570700246,1.3351647768283903,$\isotope[134][55]{Cs}$,142.99999966889106
7,80.9979,0.0011,81.01161296149006,0.022426707384051284,$\isotope[133][56]{Ba}$,520.3656944692775
8,302.8508,0.0005,302.8358280977099,0.043400402495299584,$\isotope[133][56]{Ba}$,238.0021764091594
9,356.0129,0.0007,355.9689662988628,0.016268694581211166,$\isotope[133][56]{Ba}$,568.6978813908748
10,244.6974,0.0008,244.6914580867799,0.01963228207490312,$\isotope[152][63]{Eu}$,772.9259633695285
11,411.1165,0.0012,411.1632055080312,0.03991567976255022,$\isotope[152][63]{Eu}$,140.27874062946267
12,778.9045,0.0024,778.8351956487819,0.02396000545769063,$\isotope[152][63]{Eu}$,256.0274549686066
13,867.38,0.003,867.3180191251646,0.06871516316328972,$\isotope[152][63]{Eu}$,69.47205640257779
14,1089.737,0.005,1089.4408984864037,0.5897727579892407,$\isotope[152][63]{Eu}$,22.84093962456186
15,1112.076,0.003,1111.9967381605743,0.02812249016532959,$\isotope[152][63]{Eu}$,171.14500511599618
16,1087.6842,0.0007,1089.4408984864037,0.5897727579892407,$\isotope[198][79]{Au}$,22.84093962456186
17,583.187,0.002,583.0989945027736,0.047342834521514936,$\isotope[208][81]{Tl}$,186.3492489728529
18,238.632,0.002,238.59829439575927,0.023328559538458467,$\isotope[212][82]{Pb}$,692.6184059138145
19,295.224,0.002,295.2662534374773,0.042112876942920034,$\isotope[214][82]{Pb}$,260.429271536793
20,351.93199999999996,0.002,351.8555128085857,0.03205276326426329,$\isotope[214][82]{Pb}$,359.5944989059731
21,727.33,0.01,727.2615571410116,0.5220501464694803,$\isotope[212][83]{Bi}$,47.02608647078498
22,1238.11,0.012,1238.0909110670732,0.045161951288293485,$\isotope[214][83]{Bi}$,51.98071592695183
23,1729.64,0.012,1729.6343559064608,0.08606655555024956,$\isotope[214][83]{Bi}$,18.048543221006934
24,63.29,0.02,63.2676662215497,0.04574128851099865,$\isotope[234][90]{Th}$,287.6288168286438
25,10.508,0.0,10.54571802762075,0.07888451524187426,$\isotope[75][34]{Se}$ As K$\alpha$2,509.8957362721442
26,10.5437,0.0,10.54571802762075,0.07888451524187426,$\isotope[75][34]{Se}$ As K$\alpha$1,509.8957362721442
27,10.622,0.0,10.54571802762075,0.07888451524187426,$\isotope[228][90]{Th}$ Ra Ll,509.8957362721442
28,72.8049,0.0008,72.80561742990075,0.0061713846723944026,$\isotope[228][90]{Th}$ Pb K$\alpha$2,3500.162821835941
29,72.805,0.0,72.80561742990075,0.0061713846723944026,$\isotope[207][83]{Bi}$ Pb K$\alpha$2,3500.162821835941
30,74.97,0.0,74.9645722043374,0.00671584405696441,$\isotope[207][83]{Bi}$ Pb K$\alpha$1,6876.172443627282
31,74.97,0.0009,74.9645722043374,0.00671584405696441,$\isotope[228][90]{Th}$ Pb K$\alpha$1,6876.172443627282
32,77.1088,0.001,77.08096661612004,0.06387409422535481,$\isotope[228][90]{Th}$ Bi K$\alpha$1,254.82220920474867
33,11.8185,0.8245,10.54571802762075,0.07888451524187426,$\isotope[228][90]{Th}$ Tl L$\beta$,509.8957362721442
34,46.693999999999996,0.11900000000000001,46.457946572246186,0.04278584286199447,$\isotope[152][63]{Eu}$ Sm K$\beta$'2,460.73177766505205
35,47.585,0.685,46.457946572246186,0.04278584286199447,$\isotope[153][62]{Sm}$ Eu K$\beta$'1,460.73177766505205
36,6.605,1.425,10.54571802762075,0.07888451524187426,$\isotope[153][62]{Sm}$ Eu L,509.8957362721442
37,6.73,1.37,10.54571802762075,0.07888451524187426,$\isotope[154][63]{Eu}$ Gd L,509.8957362721442
38,6.73,1.37,10.54571802762075,0.07888451524187426,$\isotope[155][63]{Eu}$ Gd L,509.8957362721442
39,59.2285,0.1285,59.5198003925795,0.004870629804848037,$\isotope[169][70]{Yb}$ Tm K$\beta$'2,4524.892552238992
40,59.4819,0.3226,59.5198003925795,0.004870629804848037,$\isotope[170][69]{Tm}$ Yb K$\beta$'1,4524.892552238992
41,7.79,1.64,10.54571802762075,0.07888451524187426,$\isotope[166][67]{Ho}$ Er L,509.8957362721442
42,7.79,1.64,10.54571802762075,0.07888451524187426,$\isotope[166m][67]{Ho}$ Er L,509.8957362721442
43,8.06,1.72,10.54571802762075,0.07888451524187426,$\isotope[169][70]{Yb}$ Tm L,509.8957362721442
44,8.345,1.795,10.54571802762075,0.07888451524187426,$\isotope[170][69]{Tm}$ Yb L,509.8957362721442
45,75.8015,0.4325,74.9645722043374,0.00671584405696441,$\isotope[192][77]{Ir}$ Pt K$\beta$'1,6876.172443627282
46,75.8015,0.4325,77.08096661612004,0.06387409422535481,$\isotope[192][77]{Ir}$ Pt K$\beta$'1,254.82220920474867
47,80.29,0.47,81.01161296149006,0.022426707384051284,$\isotope[198][79]{Au}$ Hg K$\beta$'1,520.3656944692775
48,80.29,0.47,81.01161296149006,0.022426707384051284,$\isotope[201][81]{Tl}$ Hg K$\beta$'1,520.3656944692775
49,11.785,3.065,10.54571802762075,0.07888451524187426,$\isotope[198][79]{Au}$ Hg L,509.8957362721442
50,11.785,3.065,10.54571802762075,0.07888451524187426,$\isotope[201][81]{Tl}$ Hg L,509.8957362721442
51,11.8455,2.8925,10.54571802762075,0.07888451524187426,$\isotope[203][80]{Hg}$ Tl L,509.8957362721442
52,84.9605,0.5095,84.79237034465987,0.015339780909998331,$\isotope[207][83]{Bi}$ Pb K$\beta$'1,2945.83526473019
53,84.9605,0.5095,84.79237034465987,0.015339780909998331,$\isotope[228][90]{Th}$ Pb K$\beta$'1,2945.83526473019
54,85.184,0.34600000000000003,84.79237034465987,0.015339780909998331,$\isotope[203][80]{Hg}$ Tl K$\beta$'2,2945.83526473019
55,87.3485,0.5135,87.286635185634,0.0237904941313056,$\isotope[228][90]{Th}$ Bi K$\beta$'1,1108.5295572519478
56,87.6205,0.3825,87.286635185634,0.0237904941313056,$\isotope[207][83]{Bi}$ Pb K$\beta$'2,1108.5295572519478
57,87.6205,0.3825,87.286635185634,0.0237904941313056,$\isotope[228][90]{Th}$ Pb K$\beta$'2,1108.5295572519478
58,12.51,3.33,10.54571802762075,0.07888451524187426,$\isotope[207][83]{Bi}$ Pb L,509.8957362721442
59,12.2,3.016,10.54571802762075,0.07888451524187426,$\isotope[228][90]{Th}$ Pb L,509.8957362721442
60,11.6,2.2,10.54571802762075,0.07888451524187426,$\isotope[192][77]{Ir}$ Pt L,509.8957362721442
61,12.5645,3.1445,10.54571802762075,0.07888451524187426,$\isotope[228][90]{Th}$ Bi L,509.8957362721442
