,Accepted energy,Accepted uncertainty,Measured energy,Measured uncertainty,Nuclide,Height
0,511.0,0.0,510.93596854174166,0.4064007979398893,Pair production,309.5171655669725
1,1460.8220000000001,0.006,1460.753456770723,0.300784680842118,$\isotope[40][19]{K}$,197.41855945119812
2,1120.537,0.003,1120.4752977350956,0.2721595562073131,$\isotope[46][21]{Sc}$,33.562784179686126
3,1238.2736,0.0022,1238.0782039116255,0.257899112533016,$\isotope[56][27]{Co}$,16.340329244169908
4,511.0,0.0,510.93596854174166,0.4064007979398893,$\isotope[58][27]{Co}$,309.5171655669725
5,511.0,0.0,510.93596854174166,0.4064007979398893,$\isotope[64][29]{Cu}$,309.5171655669725
6,511.0,0.0,510.93596854174166,0.4064007979398893,$\isotope[65][30]{Zn}$,309.5171655669725
7,511.0,0.0,510.93596854174166,0.4064007979398893,$\isotope[68][31]{Ga}$,309.5171655669725
8,1460.8220000000001,0.006,1460.753456770723,0.300784680842118,$\isotope[40][19]{K}$,197.41855945119812
9,294.98,0.02,294.98008286146666,0.13655039701294178,$\isotope[103][44]{Ru}$,51.12908798795879
10,511.8534,0.0023,510.93596854174166,0.4064007979398893,$\isotope[106/45][44]{Ru}$,309.5171655669725
11,661.6569999999999,0.003,661.6288102870491,0.20264876371345275,$\isotope[137][55]{Cs}$,320.87913528425696
12,1379.4370000000001,0.006,1377.6152471934179,0.6182396254945451,$\isotope[166][67]{Ho}$,27.48638473205925
13,63.12044,4e-05,63.30370673425281,0.0955267144946448,$\isotope[169][70]{Yb}$,274.2704111025137
14,583.187,0.002,583.2078515137433,0.2018238377482867,$\isotope[208][81]{Tl}$,39.53711661878544
15,2614.511,0.01,2614.4186781069557,0.3746477712132672,$\isotope[208][81]{Tl}$,62.84549202579701
16,238.632,0.002,238.5853838972286,0.13889898714280124,$\isotope[212][82]{Pb}$,141.84773793176154
17,295.224,0.002,294.98008286146666,0.13655039701294178,$\isotope[214][82]{Pb}$,51.12908798795879
18,351.93199999999996,0.002,351.94582657234935,0.1745849452705838,$\isotope[214][82]{Pb}$,84.1920927502452
19,609.316,0.003,609.3368118970577,0.16625805633081678,$\isotope[214][83]{Bi}$,61.99075461168265
20,1120.287,0.01,1120.4752977350956,0.2721595562073131,$\isotope[214][83]{Bi}$,33.562784179686126
21,1238.11,0.012,1238.0782039116255,0.257899112533016,$\isotope[214][83]{Bi}$,16.340329244169908
22,1377.6689999999999,0.012,1377.6152471934179,0.6182396254945451,$\isotope[214][83]{Bi}$,27.48638473205925
23,1764.539,0.015,1764.5274207984305,0.4463265952648716,$\isotope[214][83]{Bi}$,53.04215705241006
24,2204.071,0.021,2204.132194264266,0.3179197162631097,$\isotope[214][83]{Bi}$,14.672004923659573
25,84.37299999999999,0.003,84.77547617279014,0.17143510912718485,$\isotope[228][90]{Th}$,1112.6212479690628
26,63.29,0.02,63.30370673425281,0.0955267144946448,$\isotope[234][90]{Th}$,274.2704111025137
27,92.38,0.01,92.580583896868,0.15789714465086355,$\isotope[234][90]{Th}$,458.23458314078425
28,92.8,0.02,92.580583896868,0.15789714465086355,$\isotope[234][90]{Th}$,458.23458314078425
29,74.66,0.02,74.94531026751073,0.11573084278538825,$\isotope[243][95]{Am}$,2717.022862479289
30,74.66,0.02,74.94531026751073,0.11573084278538825,$\isotope[243][95]{Am}$,2717.022862479289
31,72.8049,0.0008,72.78419856139818,0.10991062157856324,$\isotope[228][90]{Th}$ Pb K$\alpha$2,1456.0162106509895
32,72.805,0.0,72.78419856139818,0.10991062157856324,$\isotope[207][83]{Bi}$ Pb K$\alpha$2,1456.0162106509895
33,72.8725,0.0008,72.78419856139818,0.10991062157856324,$\isotope[203][80]{Hg}$ Tl K$\alpha$1,1456.0162106509895
34,74.97,0.0,74.94531026751073,0.11573084278538825,$\isotope[207][83]{Bi}$ Pb K$\alpha$1,2717.022862479289
35,74.97,0.0009,74.94531026751073,0.11573084278538825,$\isotope[228][90]{Th}$ Pb K$\alpha$1,2717.022862479289
36,77.1088,0.001,77.15352869091335,0.19132472485297636,$\isotope[228][90]{Th}$ Bi K$\alpha$1,75.42222708807769
37,84.9605,0.5095,84.77547617279014,0.17143510912718485,$\isotope[207][83]{Bi}$ Pb K$\beta$'1,1112.6212479690628
38,84.9605,0.5095,84.77547617279014,0.17143510912718485,$\isotope[228][90]{Th}$ Pb K$\beta$'1,1112.6212479690628
39,87.3485,0.5135,87.30857241627335,0.1283887849635523,$\isotope[228][90]{Th}$ Bi K$\beta$'1,435.697502333952
40,87.6205,0.3825,87.30857241627335,0.1283887849635523,$\isotope[207][83]{Bi}$ Pb K$\beta$'2,435.697502333952
41,87.6205,0.3825,87.30857241627335,0.1283887849635523,$\isotope[228][90]{Th}$ Pb K$\beta$'2,435.697502333952
42,74.96,0.1,74.94531026751073,0.11573084278538825,$\isotope[235 ][92]{U}$,2717.022862479289
43,1460.8220000000001,0.006,1460.753456770723,0.300784680842118,$\isotope[40 ][18]{Ar}$,197.41855945119812
44,1460.8220000000001,0.006,1460.753456770723,0.300784680842118,$\isotope[40 ][18]{Ar}$,197.41855945119812
45,77.01,0.04,77.15352869091335,0.19132472485297636,$\isotope[237 ][92]{U}$,75.42222708807769
