Lower Bound,LowerIndex,Upper Bound,UpperIndex
315,315,321,321
430,430,441,441
445,445,454,454
472,472,480,480
480,480,491,491
501,501,514,514
518,518,529,529
958,958,967,967
1332,1332,1344,1344
1649,1649,1663,1663
1809,1809,1824,1824
2126,2126,2146,2146
2292,2292,2310,2310
2613,2613,2626,2626
