Lower Bound,LowerIndex,Upper Bound,UpperIndex
313,313,322,322
470,470,479,479
480,480,498,498
502,502,513,513
956,956,969,969
1333,1333,1343,1343
1645,1645,1668,1668
1798,1798,1832,1832
2117,2117,2150,2150
2284,2284,2322,2322
2608,2608,2633,2633
