,Val,Actual,ValUncertainty
0,318.1324763,53.1622,0.122921533
1,476.6929952,79.6142,0.058928427
2,484.8375064,80.9979,0.004269906
3,962.3872918,160.6121,0.054619187
4,1337.955301,223.237,0.10632592
5,1656.689683,276.3992,0.012677175
6,1815.420898,302.8512,0.007950848
7,2134.269959,356.0134,0.004875156
8,2301.151541,383.8491,0.013240671
