Pair production,511,0,1.798,0.002,annihilation radiation
11-Na-22,1274.537,0.003,0.9994,0.00014,None
11-Na-24,1368.626,0.005,0.999935,0.000005,None
11-Na-24,2754.007,0.011,0.99872,0.00008,None
19-K-40,1460.822,0.006,0.1066,0.0013,None
21-Sc-46,889.271,0.002,0.999833,0.000005,None
21-Sc-46,1120.537,0.003,0.99986,0.00036,None
24-Cr-51,320.0835,0.0004,0.0987,0.0005,None
25-Mn-54,834.838,0.005,0.999746,0.000011,None
25-Mn-56,846.7638,0.0019,0.9885,0.0003,None
25-Mn-56,1810.726,0.004,0.269,0.004,None
25-Mn-56,2113.092,0.006,0.142,0.003,None
25-Mn-56,2523.06,0.05,0.0102,0.0002,None
26-Fe-59,142.651,0.002,0.00972,0.00015,None
26-Fe-59,192.349,0.005,0.0292,0.0003,None
26-Fe-59,1099.245,0.003,0.5659,0.0021,None
26-Fe-59,1291.59,0.006,0.4321,0.0025,None
27-Co-56,846.7638,0.0019,0.999399,0.000023,None
27-Co-56,977.363,0.004,0.01422,0.00007,None
27-Co-56,1037.8333,0.0024,0.1403,0.0005,None
27-Co-56,1175.0878,0.0022,0.02249,0.00009,None
27-Co-56,1238.2736,0.0022,0.6641,0.0016,None
27-Co-56,1360.196,0.004,0.0428,0.00013,None
27-Co-56,1771.327,0.003,0.1545,0.0004,None
27-Co-56,2015.176,0.005,0.03017,0.00014,None
27-Co-56,2034.752,0.005,0.07741,0.00013,None
27-Co-56,2598.438,0.004,0.1696,0.0004,None
27-Co-56,3009.559,0.004,0.01038,0.00019,None
27-Co-56,3201.93,0.011,0.03203,0.00013,None
27-Co-56,3253.402,0.005,0.0787,0.0003,None
27-Co-56,3272.978,0.006,0.01855,0.00009,None
27-Co-56,3451.119,0.004,0.00942,0.00006,None
27-Co-57,14.41295,0.00031,0.0915,0.0017,None
27-Co-57,122.06065,0.00012,0.8551,0.0006,None
27-Co-57,136.47356,0.00029,0.1071,0.0015,None
27-Co-58,511,0,0.3,0.004,annihilation radiation
27-Co-58,810.759,0.002,0.9945,0.0001,None
27-Co-60,1173.228,0.003,0.9985,0.0003,None
27-Co-60,1332.492,0.004,0.999826,0.000006,None
29-Cu-64,511,0,0.3572,0.0028,annihilation radiation
29-Cu-64,1345.77,0.16,0.00475,0.0001,None
30-Zn-65,511,0,0.0284,0.0004,annihilation radiation
30-Zn-65,1115.539,0.002,0.506,0.0022,None
31-Ga-66,833.5324,0.0021,0.059,0.005,None
31-Ga-66,1039.22,0.003,0.37,0.03,None
31-Ga-66,1333.112,0.005,0.0117,0.0009,None
31-Ga-66,1418.754,0.005,0.0061,0.0005,None
31-Ga-66,1508.158,0.007,0.0055,0.0004,None
31-Ga-66,1898.823,0.008,0.0039,0.0003,None
31-Ga-66,1918.329,0.005,0.0199,0.0016,None
31-Ga-66,2189.616,0.006,0.053,0.004,None
31-Ga-66,2422.525,0.007,0.0188,0.0015,None
31-Ga-66,2751.835,0.005,0.227,0.018,None
31-Ga-66,3228.8,0.006,0.0151,0.0012,None
31-Ga-66,3380.85,0.006,0.0146,0.0012,None
31-Ga-66,3422.04,0.008,0.0086,0.0007,None
31-Ga-66,3791.004,0.008,0.0109,0.0009,None
31-Ga-66,4085.853,0.009,0.0127,0.001,None
31-Ga-66,4295.187,0.01,0.038,0.003,None
31-Ga-66,4461.202,0.009,0.0084,0.0007,None
31-Ga-66,4806.007,0.009,0.0186,0.0015,None
31-Ga-67,91.265,0.005,0.0307,0.0011,None
31-Ga-67,93.31,0.005,0.378,0.009,None
31-Ga-67,184.576,0.01,0.209,0.007,None
31-Ga-67,208.95,0.01,0.0237,0.0008,None
31-Ga-67,300.217,0.01,0.168,0.006,None
31-Ga-67,393.527,0.01,0.0466,0.0016,None
31-Ga-68,511,0,1.7828,0.0022,annihilation radiation
31-Ga-68,1077.34,0.05,0.0322,0.0003,None
34-Se-75,66.0518,0.0008,0.01112,0.00012,None
34-Se-75,96.734,0.0009,0.0342,0.0003,None
34-Se-75,121.1155,0.0011,0.172,0.003,None
34-Se-75,136.0001,0.0006,0.582,0.007,None
34-Se-75,198.606,0.0012,0.0148,0.0004,None
34-Se-75,264.6576,0.0009,0.589,0.003,None
34-Se-75,279.5422,0.001,0.2499,0.0013,None
34-Se-75,303.9236,0.001,0.01316,0.00008,None
34-Se-75,400.6572,0.0008,0.1147,0.0009,None
36-Kr-85,513.997,0.005,0.00435,0.0001,None
38-Sr-85,514.0048,0.0022,0.985,0.004,None
39-Y-88,898.036,0.004,0.939,0.0023,None
39-Y-88,1836.052,0.013,0.9938,0.0003,None
19-K-40,1460.822,0.006,10.66,0.13,None
41-Nb-93m,30.77,0.02,5.59E-06,1.60E-07,None
41-Nb-94,702.639,0.004,0.99815,0.00006,None
41-Nb-94,871.114,0.003,0.99892,0.00003,None
41-Nb-95,765.803,0.006,0.99808,0.00007,None
42-Mo-99/43-Tc-99m,40.58323,0.00017,0.01022,0.00027,None
42-Mo-99/43-Tc-99m,140.511,0.001,0.896,0.017,None
42-Mo-99/43-Tc-99m,181.094,0.002,0.0601,0.0011,None
42-Mo-99/43-Tc-99m,366.421,0.015,0.01194,0.00023,None
42-Mo-99/43-Tc-99m,739.5,0.017,0.1212,0.0015,None
42-Mo-99/43-Tc-99m,777.921,0.02,0.0428,0.0008,None
43-Tc-99m,140.511,0.001,0.885,0.002,None
43-Tc-99m,142.683,0.001,0.00023,0.00002,None
44-Ru-103,39.76,0.01,0.00071,0.00003,None
44-Ru-103,53.275,0.01,0.00384,0.00006,None
44-Ru-103,294.98,0.02,0.00289,0.00006,None
44-Ru-103,443.8,0.02,0.00344,0.00003,None
44-Ru-103,497.08,0.02,0.9131,0.0007,None
44-Ru-103,557.04,0.02,0.00855,0.00005,None
44-Ru-103,610.33,0.02,0.0578,0.0003,None
44-Ru-106/45-Rh 106,511.8534,0.0023,0.205,0.0021,None
44-Ru-106/45-Rh-106,616.22,0.09,0.00724,0.00013,None
44-Ru-106/45-Rh-106,621.93,0.06,0.0986,0.0011,None
44-Ru-106/45-Rh-106,873.49,0.05,0.00435,0.00008,None
44-Ru-106/45-Rh-106,1050.41,0.06,0.01488,0.00022,None
44-Ru-106/45-Rh-106,1128.07,0.05,0.00399,0.00006,None
47-Ag-110m,446.812,0.003,0.0365,0.0005,with 110Ag
47-Ag-110m,620.3553,0.0017,0.0272,0.0008,with 110Ag
47-Ag-110m,657.76,0.0011,0.9438,0.0008,with 110Ag
47-Ag-110m,677.6217,0.0012,0.1056,0.0006,with 110Ag
47-Ag-110m,687.0091,0.0018,0.0645,0.0003,with 110Ag
47-Ag-110m,706.676,0.0015,0.1648,0.0008,with 110Ag
47-Ag-110m,744.2755,0.0018,0.0471,0.0003,with 110Ag
47-Ag-110m,763.9424,0.0017,0.2231,0.0009,with 110Ag
47-Ag-110m,818.0244,0.0018,0.0733,0.0004,with 110Ag
47-Ag-110m,884.6781,0.0013,0.74,0.012,with 110Ag
47-Ag-110m,934.483,0.003,0.3451,0.0027,with 110Ag
47-Ag-110m,1384.2931,0.002,0.247,0.005,with 110Ag
47-Ag-110m,1475.7792,0.0023,0.0403,0.0005,with 110Ag
47-Ag-110m,1505.028,0.002,0.1316,0.0016,with 110Ag
47-Ag-110m,1562.294,0.018,0.0121,0.0003,with 110Ag
48-Cd-109,88.0336,0.0011,0.03626,0.0002,None
49-In-111,171.28,0.03,0.9066,0.0025,None
49-In-111,245.35,0.04,0.9409,0.0006,None
50-Sn-113,255.134,0.01,0.00211,0.00008,None
50-Sn-113,391.698,0.003,0.6494,0.0017,None
51-Sb-125,176.314,0.002,0.0682,0.0007,None
51-Sb-125,380.452,0.008,0.0152,0.00015,None
51-Sb-125,427.874,0.004,0.2955,0.0024,None
51-Sb-125,463.365,0.004,0.1048,0.0009,None
51-Sb-125,600.597,0.002,0.1776,0.0018,None
51-Sb-125,606.713,0.003,0.0502,0.0005,None
51-Sb-125,635.95,0.003,0.1132,0.001,None
51-Sb-125,671.441,0.006,0.01783,0.00016,None
52-Te-123m,158.97,0.05,0.8399,0.0008,None
53-I-123,158.97,0.05,0.8325,0.0021,None
53-I-123,528.96,0.05,0.0132,0.0008,None
53-I-125,35.4919,0.0005,0.0667,0.0017,None
53-I-129,39.578,0.004,0.0742,0.0008,None
53-I-131,80.185,0.0019,0.02607,0.00027,None
53-I-131,284.305,0.005,0.0606,0.0006,None
53-I-131,364.489,0.005,0.812,0.008,None
53-I-131,636.989,0.004,0.0726,0.0008,None
53-I-131,722.911,0.005,0.01796,0.0002,None
55-Cs-134,563.243,0.003,0.0837,0.0003,None
55-Cs-134,569.327,0.003,0.1538,0.0004,None
55-Cs-134,604.72,0.003,0.9765,0.00018,None
55-Cs-134,795.83,0.03,0.855,0.003,None
55-Cs-134,801.945,0.004,0.087,0.0003,None
55-Cs-134,1365.186,0.004,0.03017,0.00012,None
55-Cs-137,661.657,0.003,0.8499,0.002,None
56-Ba-133,53.1622,0.0006,0.0214,0.0003,None
56-Ba-133,79.6142,0.0012,0.0265,0.0005,None
56-Ba-133,80.9979,0.0011,0.329,0.003,None
56-Ba-133,276.3989,0.0012,0.0716,0.0005,None
56-Ba-133,302.8508,0.0005,0.1834,0.0013,None
56-Ba-133,356.0129,0.0007,0.6205,0.0019,None
56-Ba-133,383.8485,0.0012,0.0894,0.0006,None
58-Ce-139,165.8575,0.0011,0.799,0.0004,None
58-Ce-141,145.4433,0.0014,0.4829,0.002,None
58-Ce-144/59-Pr-144,33.568,0.01,0.00235,0.00012,144Ce
58-Ce-144/59-Pr-144,40.98,0.1,0.0041,0.0025,144Ce
58-Ce-144/59-Pr-144,80.12,0.05,0.0152,0.001,144Ce
58-Ce-144/59-Pr-144,133.515,0.004,0.1109,0.0016,144Ce
58-Ce-144/59-Pr-144,696.505,0.004,0.01342,0.00014,144Pr - per 144Ce decay
58-Ce-144/59-Pr-144,1489.148,0.003,0.00296,0.00005,145Pr - per 144Ce decay
58-Ce-144/59-Pr-144,2185.645,0.005,0.0068,0.00018,146Pr - per 144Ce decay
62-Sm-153,69.67301,0.00018,0.0473,0.0003,None
62-Sm-153,83.36716,0.00017,0.00192,0.00007,None
62-Sm-153,89.48593,0.00021,0.00158,0.00015,None
62-Sm-153,97.43095,0.00017,0.00772,0.00018,None
62-Sm-153,103.18007,0.00013,0.293,0.003,None
62-Sm-153,172.85295,0.00021,0.000737,0.00002,None
63-Eu-152,121.7817,0.0003,0.2841,0.0013,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,244.6974,0.0008,0.0755,0.0004,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,344.2785,0.0012,0.2658,0.0012,?- : gamma emissions arise from ? decay mode
63-Eu-152,411.1165,0.0012,0.02237,0.0001,?- : gamma emissions arise from ? decay mode
63-Eu-152,443.965,0.003,0.03125,0.00014,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,778.9045,0.0024,0.1296,0.0006,?- : gamma emissions arise from ? decay mode
63-Eu-152,867.38,0.003,0.04241,0.00023,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,964.072,0.018,0.1462,0.0006,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,1085.837,0.01,0.1013,0.0006,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,1089.737,0.005,0.01731,0.0001,?- : gamma emissions arise from ? decay mode
63-Eu-152,1112.076,0.003,0.134,0.0006,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,1212.948,0.011,0.01415,0.00009,? : gamma emissions arise from electron-capture decay mode
63-Eu-152,1299.142,0.008,0.01632,0.00009,?- : gamma emissions arise from ? decay mode
63-Eu-152,1408.013,0.003,0.2085,0.0009,? : gamma emissions arise from electron-capture decay mode
63-Eu-154,123.0706,0.0009,0.404,0.005,None
63-Eu-154,247.9288,0.0007,0.0689,0.0007,None
63-Eu-154,591.755,0.003,0.0495,0.0005,None
63-Eu-154,692.4205,0.0018,0.0179,0.0003,None
63-Eu-154,723.3014,0.0022,0.2005,0.0021,None
63-Eu-154,756.802,0.0023,0.0453,0.0005,None
63-Eu-154,873.1834,0.0023,0.1217,0.0012,None
63-Eu-154,996.262,0.006,0.105,0.001,None
63-Eu-154,1004.725,0.007,0.1785,0.0017,None
63-Eu-154,1246.121,0.004,0.00862,0.00008,None
63-Eu-154,1274.429,0.004,0.349,0.003,None
63-Eu-154,1596.4804,0.0028,0.01783,0.00017,None
63-Eu-155,26.531,0.021,0.00316,0.00022,None
63-Eu-155,45.299,0.001,0.0131,0.0005,None
63-Eu-155,60.0086,0.001,0.0122,0.0005,None
63-Eu-155,86.0591,0.001,0.00154,0.00017,None
63-Eu-155,86.5479,0.001,0.307,0.003,None
63-Eu-155,105.3083,0.001,0.211,0.006,None
67-Ho-166,80.576,0.002,0.0655,0.0008,None
67-Ho-166,1379.437,0.006,0.00933,0.00016,None
67-Ho-166,1581.833,0.007,0.00186,0.00004,None
67-Ho-166,1662.439,0.006,0.00118,0.00005,None
67-Ho-166m,80.5725,0.0013,0.1266,0.0023,None
67-Ho-166m,184.4107,0.0011,0.725,0.005,None
67-Ho-166m,215.871,0.007,0.0266,0.0017,None
67-Ho-166m,259.736,0.01,0.01078,0.0001,None
67-Ho-166m,280.463,0.0023,0.2954,0.0025,None
67-Ho-166m,300.741,0.003,0.0373,0.0004,None
67-Ho-166m,365.768,0.006,0.0246,0.0004,None
67-Ho-166m,410.956,0.003,0.1135,0.0018,None
67-Ho-166m,451.54,0.004,0.02915,0.00014,None
67-Ho-166m,464.798,0.006,0.0125,0.0004,None
67-Ho-166m,529.825,0.004,0.094,0.004,None
67-Ho-166m,570.995,0.005,0.0543,0.002,None
67-Ho-166m,611.579,0.006,0.0131,0.0021,None
67-Ho-166m,670.526,0.004,0.0534,0.0021,None
67-Ho-166m,691.253,0.007,0.0132,0.0007,None
67-Ho-166m,711.697,0.003,0.549,0.012,None
67-Ho-166m,752.28,0.004,0.122,0.003,None
67-Ho-166m,810.286,0.004,0.573,0.011,None
67-Ho-166m,830.565,0.004,0.0972,0.0018,None
67-Ho-166m,950.988,0.004,0.02744,0.00019,None
69-Tm-170,78.59,0.02,0.000034,0.000003,None
69-Tm-170,84.25474,0.00008,0.0248,0.0009,None
70-Yb-169,63.12044,0.00004,0.4405,0.0024,None
70-Yb-169,93.61447,0.00008,0.02571,0.00017,None
70-Yb-169,109.77924,0.00004,0.1736,0.0009,None
70-Yb-169,118.1894,0.00014,0.0187,0.0001,None
70-Yb-169,130.52293,0.00006,0.1138,0.0005,None
